Customer ID,Preferred Payment Method,Total Spent,Accessory Spent
1000,Credit Card,6279.42,66.3
1002,Credit Card,5020.6,60.16
1003,Cash,41.5,35.56
1004,Credit Card,83.0,65.78
1005,Paypal,11779.11,75.33
1006,Debit Card,12184.27,133.43
1007,Credit Card,7120.71,55.48
1008,Cash,3379.32,65.85
1011,Credit Card,7911.9,70.17
1013,Paypal,5538.33,57.81
1014,Credit Card,9816.119999999999,77.61
1015,Paypal,83.0,80.0
1016,Paypal,103.75,0.0
1018,Paypal,124.5,70.39
1019,Cash,1915.95,87.03999999999999
1020,Debit Card,3379.32,37.13
1021,Cash,844.83,49.54
1022,Paypal,6758.64,73.49
1024,Cash,1582.38,51.93
1025,Debit Card,2866.76,77.78
1027,Paypal,4747.14,0.0
1028,Debit Card,6758.64,0.0
1030,Debit Card,4224.15,46.03
1031,Debit Card,6017.56,17.79
1033,Debit Card,4152.88,49.24
1035,Cash,249.0,33.56
1036,Debit Card,4747.139999999999,56.62
1038,Debit Card,14976.71,83.95
1039,Credit Card,1729.21,0.0
1040,Credit Card,6329.52,92.79
1042,Credit Card,6059.06,164.27
1043,Debit Card,207.5,0.0
1047,Debit Card,2470.3,63.23
1048,Debit Card,2470.3,0.0
1049,Paypal,145.25,86.36
1052,Cash,5068.98,45.46
1053,Debit Card,4175.64,88.3
1054,Paypal,62.25,79.9
1056,Credit Card,1855.84,41.24
1057,Paypal,9085.65,116.77
1058,Paypal,4121.95,92.57
1059,Paypal,3711.68,71.69
1060,Paypal,4920.4,133.49
1061,Cash,2440.2,97.89999999999999
1062,Debit Card,6329.52,26.24
1063,Paypal,4229.41,6.47
1066,Paypal,4747.14,83.84
1067,Paypal,3418.87,81.55
1069,Cash,145.25,96.61
1070,Paypal,62.25,6.3
1071,Debit Card,7603.47,0.0
1073,Cash,4199.51,55.040000000000006
1074,Cash,7603.47,58.95
1077,Cash,3855.75,25.14
1079,Paypal,5579.83,134.82999999999998
1080,Paypal,3411.7900000000004,16.65
1083,Credit Card,3379.32,0.0
1085,Cash,761.84,101.4
1086,Paypal,166.0,25.72
1089,Debit Card,3955.95,0.0
1090,Debit Card,741.09,22.88
1091,Credit Card,1689.66,14.52
1093,Credit Card,7120.71,29.11
1094,Debit Card,20.75,0.0
1096,Paypal,4681.1,113.21
1097,Paypal,988.12,51.12
1099,Credit Card,2974.26,100.12
1100,Credit Card,4120.41,84.57
1101,Cash,1102.44,323.69
1102,Paypal,166.0,0.0
1105,Debit Card,1482.18,102.0
1109,Debit Card,2042.59,147.59
1110,Credit Card,207.5,0.0
1112,Paypal,4446.54,112.36
1114,Paypal,4747.14,71.97
1115,Cash,1883.0500000000002,53.95
1116,Paypal,8351.28,15.85
1117,Debit Card,1689.66,48.25
1119,Credit Card,1482.18,65.34
1120,Debit Card,290.5,48.52
1122,Paypal,5538.33,0.0
1123,Credit Card,7549.83,60.01
1124,Credit Card,8732.28,189.86
1125,Debit Card,9625.49,67.21
1127,Paypal,6924.64,128.05
1129,Cash,20.75,0.0
1130,Debit Card,4747.14,46.92
1132,Cash,124.5,48.93
1133,Cash,8150.52,120.48
1134,Paypal,18089.83,215.06
1136,Credit Card,844.83,41.06
1139,Debit Card,6329.52,46.71
1141,Paypal,5124.3099999999995,114.27
1142,Cash,4175.64,33.15
1143,Cash,3379.32,0.0
1144,Debit Card,844.83,89.92
1145,Cash,5214.23,51.7
1147,Cash,8448.3,85.51
1148,Cash,7354.17,102.68
1149,Debit Card,3566.07,172.41
1150,Debit Card,5538.33,35.65
1151,Paypal,1401.15,76.73
1152,Cash,124.5,66.83
1154,Credit Card,463.96,0.0
1155,Debit Card,9869.76,87.1
1160,Debit Card,83.0,57.28
1162,Paypal,3379.32,57.06
1167,Paypal,124.5,61.43
1168,Paypal,1391.88,0.0
1169,Credit Card,8322.09,54.39
1170,Credit Card,5538.33,76.57
1171,Debit Card,9152.57,239.13
1174,Cash,1050.37,107.32
1175,Paypal,4092.5499999999997,108.15
1177,Paypal,2783.76,69.0
